"","County","Freq","Expected","Residual","Component"
"2495","2495",0,1.2679,-1.2679,-1.2679
"1907","1907",0,1.2628,-1.2628,-1.2628
"2640","2640",0,1.2591,-1.2591,-1.2591
"2088","2088",1,2.9142,-1.9142,-1.2574
"2889","2889",0,1.2572,-1.2572,-1.2572
"1944","1944",0,1.2529,-1.2529,-1.2529
"2935","2935",0,1.2503,-1.2503,-1.2503
"2206","2206",2,4.3161,-2.3161,-1.2429
"1043","1043",0,1.2418,-1.2418,-1.2418
"2964","2964",3,5.6471,-2.6471,-1.2408
"624","624",2,4.3097,-2.3097,-1.2378
"2080","2080",0,1.235,-1.235,-1.235
"2049","2049",0,1.2324,-1.2324,-1.2324
"2075","2075",0,1.2248,-1.2248,-1.2248
"2743","2743",0,1.2242,-1.2242,-1.2242
"261","261",0,1.2171,-1.2171,-1.2171
"2144","2144",0,1.2133,-1.2133,-1.2133
"100","100",0,1.2108,-1.2108,-1.2108
"1670","1670",0,1.2081,-1.2081,-1.2081
"1395","1395",0,1.2051,-1.2051,-1.2051
"2682","2682",1,2.8531,-1.8531,-1.2036
"2825","2825",1,2.8516,-1.8516,-1.2023
"2695","2695",0,1.2013,-1.2013,-1.2013
"249","249",0,1.2007,-1.2007,-1.2007
"1927","1927",0,1.1993,-1.1993,-1.1993
"114","114",0,1.1935,-1.1935,-1.1935
"3005","3005",1,2.8374,-1.8374,-1.1898
"641","641",0,1.1863,-1.1863,-1.1863
"1144","1144",0,1.186,-1.186,-1.186
"2401","2401",0,1.1787,-1.1787,-1.1787
"742","742",0,1.1763,-1.1763,-1.1763
"658","658",1,2.8204,-1.8204,-1.1749
"2237","2237",5,8.0664,-3.0664,-1.1657
"1587","1587",0,1.1595,-1.1595,-1.1595
"2037","2037",2,4.2023,-2.2023,-1.1542
"841","841",0,1.154,-1.154,-1.154
"1780","1780",0,1.1531,-1.1531,-1.1531
"2267","2267",1,2.7902,-1.7902,-1.1486
"2900","2900",0,1.1476,-1.1476,-1.1476
"1317","1317",0,1.1469,-1.1469,-1.1469
"1082","1082",0,1.1419,-1.1419,-1.1419
"1177","1177",6,9.247,-3.247,-1.1402
"2264","2264",2,4.1836,-2.1836,-1.1397
"2110","2110",0,1.1318,-1.1318,-1.1318
"2406","2406",0,1.1314,-1.1314,-1.1314
"2010","2010",0,1.1272,-1.1272,-1.1272
"213","213",11,15.1109,-4.1109,-1.1184
"413","413",0,1.1179,-1.1179,-1.1179
"873","873",0,1.1159,-1.1159,-1.1159
"649","649",0,1.1151,-1.1151,-1.1151
"2417","2417",1,2.7498,-1.7498,-1.1135
"772","772",0,1.1134,-1.1134,-1.1134
"1344","1344",0,1.1129,-1.1129,-1.1129
"301","301",1,2.741,-1.741,-1.1058
"1373","1373",0,1.1031,-1.1031,-1.1031
"2891","2891",1,2.7331,-1.7331,-1.099
"1037","1037",1,2.7314,-1.7314,-1.0975
"2277","2277",1,2.7309,-1.7309,-1.097
"2939","2939",2,4.1244,-2.1244,-1.0942
"389","389",2,4.1141,-2.1141,-1.0863
"2065","2065",1,2.7176,-1.7176,-1.0856
"1957","1957",1,2.7115,-1.7115,-1.0803
"1025","1025",0,1.0782,-1.0782,-1.0782
"2456","2456",1,2.7077,-1.7077,-1.077
"145","145",1,2.6996,-1.6996,-1.07
"2170","2170",0,1.0677,-1.0677,-1.0677
"2999","2999",2,4.0886,-2.0886,-1.0669
"971","971",0,1.0663,-1.0663,-1.0663
"1085","1085",0,1.0643,-1.0643,-1.0643
"223","223",1,2.6924,-1.6924,-1.0639
"2724","2724",0,1.0614,-1.0614,-1.0614
"3065","3065",3,5.3911,-2.3911,-1.0605
"393","393",0,1.0593,-1.0593,-1.0593
