"","Freq","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Dim.25","Dim.26","Dim.27","Dim.28","Dim.29","Dim.30"
"Worcester.County.MA",59,-2.93336652996106,7.21438530752833,0.199114664971285,3.63944231668682,-0.569763254311516,0.350084275225889,1.56981294371576,1.20335868324337,0.109875137428266,0.297556652563867,0.47999748938041,0.315990519824711,-0.307342620057211,-0.384688762390922,-0.0183825187013316,0.449061770785822,-0.237804941668884,0.984135575386539,0.860900064937921,-0.0746131074015088,0.592430694009964,-0.0440654008085298,0.350550971539565,0.376776940692997,-0.23917298301424,0.263174703174106,0.451582062065182,-0.25487830891293,0.5394541923947,0.544373621284611
"Alcona.County.MI",4,-5.80478885757234,-5.31370462351288,-6.10653170141144,1.89278755685626,2.72689206245786,-1.28337612765757,1.10833071288075,-0.603154448468131,1.47614868154771,-0.0534084104545743,-0.337843741584326,0.728772527704345,-2.21291017790555,0.25522146451201,-1.47915208869178,-1.68042275251542,-1.33555156161921,-1.03156488482971,0.417579743875169,1.45366969681394,-0.168892598190987,-0.484585702555797,-1.598612265473,-0.231802432914986,1.22043895400052,0.471083198508131,0.406439967140096,0.333932986449819,-1.0734298791138,0.801378952573727
"Alger.County.MI",1,-5.26902442668687,-1.32096172006532,-4.85718389423251,1.34740746667948,1.40447878072819,-1.06838971137097,0.928934204961391,-0.962704837083286,-0.938084147034878,1.24619005299065,-2.23225742076252,-0.471075275052659,-0.282664658611164,0.412912903292798,-2.72829686967909,-0.894684110875745,-0.586938537716788,-0.0268195151092604,1.01605207521138,0.0263610823642949,0.0444949515344789,-0.186339969404856,-0.194640355761745,0.263902018288934,0.64619417604474,-0.301888650947352,0.147838294426285,-0.171896552162123,-0.20561146909741,0.431245419299944
"Allegan.County.MI",6,-3.5645624193882,1.01872377802814,1.93900709490359,1.0863083763978,-2.9807820094677,-0.0525424649425086,1.7545668298635,-1.7287066978402,0.498718483947722,0.0808770865211589,0.11966789457599,-0.584745584557758,-0.138508101426458,-0.287609121565148,-0.247006044767492,-0.261910343984274,-0.342260974595258,0.0101159981971054,0.226383355585572,-0.439292105086428,1.91025205340744,-0.346846287297463,-0.452154605256406,0.76511604865496,0.59401829666627,-0.758719561217595,0.220735542099844,0.129081678586741,-0.616400454744221,0.175224933968958
"Alpena.County.MI",2,-5.53238669472223,-1.1299869740022,-3.9152943069001,1.42961915114082,-1.45725449388749,-1.26537678575696,0.913661723241572,-0.347146871657399,-0.186575796776667,-0.254633689817536,0.515386985542643,0.0246235964592632,-1.00820801711431,0.360225224387232,0.368032623817229,0.115967701125063,-1.27588166413077,0.629899007142914,0.906426912406344,0.348015099786887,-0.0226679518487972,-0.917230074145015,-0.0970658188414468,0.774154953245708,0.448671082635364,0.420038408156225,-0.419837092479795,-0.253410677511696,-1.01939435481496,-0.439514252209191
"Antrim.County.MI",5,-5.11325689132955,-1.42979642325787,-3.10890682441107,0.80080667580326,0.270334486880293,-0.951351306043556,0.550800489530936,-0.0668275856644951,-0.243013391755436,0.858915075802523,1.33940607126601,0.739439850716954,-1.71205745601001,-0.0909203276884336,-0.697292299562777,-0.718615558146506,-1.58726583536844,0.00300267630952722,0.917062667564386,1.16501395711277,0.307561108044548,-0.956145784279267,-0.904033095082224,-0.75519257514013,-0.215774208766924,-0.309097272335349,0.401967323650955,0.00994532788995737,-0.56691430162102,0.0302315666621023
"Arenac.County.MI",2,-4.11835559686502,-2.67851382691281,-5.17350299739731,-0.346804388006478,-1.28348449779873,-0.597608973137938,1.34522062355215,1.06656295843133,-0.211835404902984,1.28221393644159,-0.451554698667403,1.25953333016076,-0.9873502003123,0.883532321071658,1.20841325863592,-0.479107528837852,-1.28502306833265,-0.957887398429946,2.0716900034988,0.510708264137899,1.11035369168413,-1.84096056089528,-1.23090757954703,-0.409106364300968,-0.0599987630655809,0.867951568984279,0.378088155524605,0.181755157009616,-0.55949186584664,0.820624805080585
"Baraga.County.MI",1,-3.18654738451125,-0.359067842159769,-4.50793174758102,-0.574322403844821,-0.424880883571487,-1.01521746791311,0.963443666075463,-0.136926238818976,-1.1484238074927,1.36591358081183,-1.85759939517546,-0.00884293138692787,0.952466004536058,-0.578233449037027,-2.59718548394646,-1.04277625446107,-0.369483364005677,0.528914828039281,2.49778439478088,1.60690901677804,0.0424927272347711,-0.901748358771354,-0.0434975708745106,-0.941593305442674,0.60121797333453,-0.853873711730228,-0.0069762788938468,-0.0422276840922815,-0.661330034372687,0.541262805630665
"Barry.County.MI",2,-5.28754005757593,-0.0147931655524692,0.628217815665936,1.35174235424016,-2.72158191005534,0.939952388074814,1.45349579394794,-0.633391056138148,-0.341628607161032,-0.0766288245707752,-0.231268536492526,-0.0162686330870851,-0.276411946405859,0.151349179713061,-0.191416190803183,-0.998527122099288,-0.257913345114053,-1.00122122431248,0.626368670362654,-0.512920439605177,0.958175802349042,-0.210493948782058,0.0738083126813153,0.580156841837237,0.638827250792566,0.0305824399500873,0.45274115357985,-0.0954405444960691,-0.265648914636854,0.150931378530764
"Bay.County.MI",3,-3.87559531875387,1.15966914900045,-2.50812496688737,1.51308744680492,-1.93382932556588,-1.38496256420735,0.766650728389916,-1.19955616169427,-0.613982113915744,-0.586492900270465,-0.117576597677739,-0.132419933891153,-0.529379299593266,0.757519263256381,0.266630937335884,-0.0209955579651523,-0.994527324985964,0.0204885800551884,0.859404690476188,0.380154482970119,-0.024696859861478,-0.317597033187294,-0.141341974796993,0.29042508255304,0.017456392978246,0.564169738670222,-0.173710269762386,0.0165694260631552,0.0233054537060638,0.0820012736971657
