"","ID","Var","v.test","Mean.in.category","Overall.mean","sd.in.category","Overall.sd","p.value","Cluster"
"52",52,"Sexually.transmitted.infections",-11.2732835901553,210.063118811881,343.331229929351,115.599144746039,254.666258328712,0.000000000000000000000000000017781254919045,1
"53",53,"Violent.crime",-11.4417833419827,143.38827970297,251.457453436095,118.346859013306,203.471557096613,0.0000000000000000000000000000025851631739207,1
"54",54,"Adult.obesity",-11.8257976429157,0.28225495049505,0.305591201027617,0.0395558491030704,0.0425105019285335,0.0000000000000000000000000000000287161985551393,1
"55",55,"Summer.Tmax",-12.1020297129477,829.347428851856,857.133419490286,43.6164168170348,49.461042705652,0.00000000000000000000000000000000103031739562784,1
"56",56,"Adult.smoking",-12.1272910776918,0.17775495049505,0.210856775850995,0.042877437006023,0.058800868252663,0.000000000000000000000000000000000757127473792732,1
"57",57,"Black",-12.5369368235618,0.428836633663366,8.83031470777135,0.901698827376213,14.4364316303661,0.00000000000000000000000000000000000468767216132814,1
"58",58,"Diabetes",-12.5494943394435,0.0943316831683168,0.1073795761079,0.0166845777528443,0.0223980265456759,0.00000000000000000000000000000000000400056535261221,1
"59",59,"Democrats.2008",-12.6817466726425,33.3978144618317,41.5680274350039,11.9879349307362,13.8787355714823,0.000000000000000000000000000000000000746495949952822,1
"60",60,"FamilyRatio",-12.6972361311807,0.648203278419245,0.678016219322807,0.0445771958285311,0.0505814436479383,0.000000000000000000000000000000000000612550200420458,1
"61",61,"Teen.births",-13.071414613009,32.0428217821782,44.0877970456005,12.2594295070988,19.85084140271,0.00000000000000000000000000000000000000479651736698347,1
"62",62,"Poor.physical.health.days",-13.4374633901665,3.12339108910891,3.80712909441233,0.872831760818128,1.09614504260745,0.0000000000000000000000000000000000000000364726000019309,1
"63",63,"FemaleUnder20",-13.5233311851966,0.233009803582519,0.253998548137943,0.034018219977634,0.0334347727277658,0.0000000000000000000000000000000000000000113899080767334,1
"64",64,"Democrats.2012",-13.8109985462461,29.0232192385099,38.5123099217784,12.1828934227458,14.8011382418826,0.000000000000000000000000000000000000000000218777777705726,1
"65",65,"Male20to24",-13.9161758584686,0.0452691432653096,0.0632011432670759,0.0156155368189541,0.0277590385120115,0.0000000000000000000000000000000000000000000505221577119787,1
"66",66,"DemChange12",-14.0982338559582,-28.3110002088109,-19.4631632102003,11.5689562835329,13.5197294372859,0.00000000000000000000000000000000000000000000389393396808325,1
"67",67,"Poor.mental.health.days",-14.3094759769354,2.9,3.53601477199743,0.821448250179384,0.957500634013532,0.000000000000000000000000000000000000000000000190946688057123,1
"68",68,"Production.transportation.and.material.moving.occupations",-14.4266403288734,12.2408415841584,16.2519588953115,4.07773510041565,5.98957154235552,0.000000000000000000000000000000000000000000000035180524758875,1
"69",69,"Sales.and.office.occupations",-14.7283498365719,20.4751237623762,22.843384714194,4.08500563332376,3.46394558081817,0.000000000000000000000000000000000000000000000000423931461054277,1
"70",70,"Democrats.2016",-14.8078015290896,21.1543009284752,31.6898834156638,10.5854121160938,15.3272261119166,0.000000000000000000000000000000000000000000000000130437143558975,1
"71",71,"Less.Than.High.School.Diploma",-15.2653324146788,11.7143564356436,16.9106133590238,4.3428619403971,7.33297066734346,0.000000000000000000000000000000000000000000000000000130162830294979,1
"72",72,"Unemployment",-15.302500765906,0.0573700495049505,0.0769079961464355,0.0315128815245091,0.0275050289726229,0.0000000000000000000000000000000000000000000000000000735743717176578,1
"73",73,"Female20to24",-15.3389244735819,0.0392846791929612,0.0571844412665314,0.0134562249895626,0.0251389970331569,0.0000000000000000000000000000000000000000000000000000420097619420072,1
"74",74,"MaleUnder20",-15.3911135632967,0.242809610137819,0.269848447262233,0.0362307251750709,0.037845440498558,0.0000000000000000000000000000000000000000000000000000187772724380344,1
"75",75,"Children.in.single.parent.households",-16.0379893930044,0.238985148514851,0.315802825947335,0.091461834150459,0.103182690453518,0.000000000000000000000000000000000000000000000000000000000693638833428964,1
"76",76,"AveFamilySize",-16.649717479595,2.80205445544554,2.92302504816956,0.127669464180396,0.156519530840208,0.0000000000000000000000000000000000000000000000000000000000000304034113367479,1
